ApsimVersion = 7.5
Title = GHNY9701_12-97 DATE3 F-MIX
           Date        biomass          yield            esw            lai
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)
     23/07/1997            0.0            0.0         83.588          0.000
     24/07/1997            0.0            0.0         82.156          0.000
     25/07/1997            0.0            0.0         81.715          0.000
     26/07/1997            0.0            0.0         81.302          0.000
     27/07/1997            0.0            0.0         80.903          0.000
     28/07/1997            0.0            0.0         80.513          0.000
     29/07/1997            0.0            0.0         83.898          0.000
     30/07/1997            4.5            0.0         97.038          0.006
     31/07/1997            4.7            0.0         95.223          0.006
     01/08/1997            5.1            0.0         93.872          0.007
     02/08/1997            5.9            0.0         91.767          0.009
     03/08/1997            6.8            0.0         90.561          0.011
     04/08/1997            7.4            0.0         89.576          0.012
     05/08/1997            8.3            0.0        127.994          0.014
     06/08/1997            8.8            0.0        120.780          0.015
     07/08/1997            9.8            0.0        113.395          0.017
     08/08/1997           11.7            0.0        107.048          0.021
     09/08/1997           13.2            0.0        103.194          0.024
     10/08/1997           15.8            0.0        101.328          0.029
     11/08/1997           19.1            0.0        100.223          0.035
     12/08/1997           22.2            0.0         99.496          0.041
     13/08/1997           25.8            0.0         98.952          0.049
     14/08/1997           29.6            0.0         98.478          0.056
     15/08/1997           31.7            0.0         98.701          0.060
     16/08/1997           36.8            0.0         97.717          0.067
     17/08/1997           40.8            0.0         97.345          0.071
     18/08/1997           46.6            0.0        134.079          0.078
     19/08/1997           53.6            0.0        121.291          0.086
     20/08/1997           60.6            0.0        112.001          0.094
     21/08/1997           70.4            0.0        119.111          0.106
     22/08/1997           76.4            0.0        110.805          0.113
     23/08/1997           79.2            0.0        105.813          0.116
     24/08/1997           86.7            0.0        103.005          0.124
     25/08/1997           97.6            0.0        108.403          0.137
     26/08/1997          105.8            0.0        104.574          0.146
     27/08/1997          115.7            0.0        107.311          0.157
     28/08/1997          121.5            0.0        104.417          0.164
     29/08/1997          136.7            0.0        110.551          0.182
     30/08/1997          150.9            0.0        105.957          0.198
     31/08/1997          166.4            0.0        102.506          0.216
     01/09/1997          180.0            0.0        100.499          0.232
     02/09/1997          194.0            0.0         99.578          0.247
     03/09/1997          203.3            0.0         99.006          0.258
     04/09/1997          212.3            1.2        100.261          0.268
