ApsimVersion = 7.5
Title = GHNY9701_7-97 DATE1 CHINESE
           Date        biomass          yield            esw            lai
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)
     28/05/1997            0.0            0.0         64.433          0.000
     29/05/1997            0.0            0.0         64.168          0.000
     30/05/1997            0.0            0.0         64.029          0.000
     31/05/1997            0.0            0.0         64.014          0.000
     01/06/1997            0.0            0.0         63.996          0.000
     02/06/1997            0.0            0.0         63.974          0.000
     03/06/1997            0.0            0.0         63.948          0.000
     04/06/1997            0.0            0.0         66.621          0.000
     05/06/1997            0.0            0.0         63.985          0.000
     06/06/1997            0.0            0.0         63.967          0.000
     07/06/1997            0.0            0.0         63.946          0.000
     08/06/1997            0.0            0.0         63.921          0.000
     09/06/1997            4.5            0.0         63.893          0.006
     10/06/1997            5.0            0.0         63.846          0.007
     11/06/1997            5.3            0.0         66.836          0.008
     12/06/1997            6.2            0.0         63.855          0.009
     13/06/1997            6.7            0.0        103.491          0.010
     14/06/1997            7.6            0.0        100.144          0.012
     15/06/1997            8.5            0.0         98.023          0.014
     16/06/1997            9.7            0.0        110.069          0.017
     17/06/1997           11.6            0.0        106.149          0.020
     18/06/1997           14.0            0.0        103.634          0.025
     19/06/1997           16.2            0.0        119.085          0.030
     20/06/1997           19.8            0.0        113.936          0.037
     21/06/1997           24.1            0.0        110.464          0.045
     22/06/1997           26.0            0.0        116.143          0.049
     23/06/1997           28.6            0.0        116.074          0.054
     24/06/1997           32.2            0.0        111.217          0.061
     25/06/1997           37.2            0.0        106.688          0.071
     26/06/1997           44.8            0.0        102.737          0.086
     27/06/1997           51.5            0.0         99.743          0.099
     28/06/1997           55.6            0.0        129.060          0.107
     29/06/1997           63.4            0.0        122.515          0.122
     30/06/1997           69.0            0.0        125.130          0.133
     01/07/1997           76.1            0.0        118.758          0.146
     02/07/1997           79.5            0.0        113.908          0.153
     03/07/1997           83.7            0.0        109.047          0.161
     04/07/1997           88.4            0.0        105.223          0.169
     05/07/1997           97.2            0.0        102.208          0.186
     06/07/1997          105.9            0.0         99.796          0.202
     07/07/1997          115.3            0.0         97.750          0.212
     08/07/1997          128.9            0.0         95.890          0.227
     09/07/1997          141.5            0.0         94.313          0.241
     10/07/1997          149.6            0.0        110.969          0.249
     11/07/1997          158.6            0.0        107.708          0.259
     12/07/1997          175.3            0.0        105.036          0.277
     13/07/1997          194.0            0.0        100.797          0.297
     14/07/1997          210.1            0.0        121.333          0.314
     15/07/1997          219.5            0.0        147.768          0.324
     16/07/1997          226.7            0.0        142.347          0.332
     17/07/1997          243.6            0.0        133.636          0.350
     18/07/1997          262.0            0.0        125.816          0.369
     19/07/1997          282.5            0.0        117.875          0.391
     20/07/1997          297.0            0.0        111.694          0.406
     21/07/1997          306.2            0.0        107.094          0.416
     22/07/1997          338.8            0.0        102.614          0.450
     23/07/1997          362.4            0.0        101.085          0.474
     24/07/1997          385.7            0.0         97.181          0.498
     25/07/1997          413.6            2.3         94.198          0.529
     26/07/1997          441.1            4.9         92.230          0.558
     27/07/1997          465.5            7.8         90.643          0.583
     28/07/1997          494.4           11.1         89.170          0.613
     29/07/1997          511.2           14.3         90.955          0.627
     30/07/1997          525.0           17.6        104.472          0.638
     31/07/1997          536.7           21.0        103.036          0.647
     01/08/1997          555.3           24.9        102.269          0.662
     02/08/1997          596.0           30.0         97.977          0.701
     03/08/1997          631.0           35.3         93.679          0.733
     04/08/1997          652.9           40.2         91.614          0.749
     05/08/1997          680.0           45.7        136.131          0.771
     06/08/1997          694.9           50.6        132.600          0.779
     07/08/1997          723.7           56.7        127.019          0.801
     08/08/1997          777.5           65.3        119.583          0.848
     09/08/1997          810.2           72.6        113.118          0.872
     10/08/1997          862.3           82.1        106.717          0.912
     11/08/1997          914.7           92.2        101.462          0.949
     12/08/1997          954.6          101.6         98.007          0.974
     13/08/1997          997.9          111.8         95.070          1.000
     14/08/1997         1040.7          122.4         92.430          1.025
     15/08/1997         1061.7          130.8         93.414          1.032
     16/08/1997         1113.9          143.5         88.142          1.063
     17/08/1997         1150.7          154.7         86.765          1.081
     18/08/1997         1202.9          168.4        135.701          1.110
     19/08/1997         1264.9          184.2        128.931          1.146
     20/08/1997         1323.0          200.0        122.544          1.178
     21/08/1997         1403.1          220.0        131.810          1.224
