*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    
 1997 148     1  22.80  30.50  22.50  5.636  0.000  5.636  1.466  0.000  1.421  0.000  0.044    5.64    1.47    0.00    1.42    0.00    0.04   0.044   0.099   0.149   0.323   0.287   0.521
 1997 149     2  23.50  32.50  23.00  5.952  0.000  5.952  1.442  0.000  1.408  0.000  0.034   11.59    2.91    0.00    2.83    0.00    0.08   0.043   0.098   0.147   0.319   0.284   0.518
 1997 150     3  24.10  34.00  24.20  6.249  0.000  6.249  1.419  0.000  1.393  0.000  0.026   17.84    4.33    0.00    4.22    0.00    0.10   0.043   0.097   0.145   0.316   0.280   0.512
 1997 151     4  22.50  33.00  24.50  5.786  0.000  5.786  0.454  0.000  0.434  0.000  0.020   23.62    4.78    0.00    4.66    0.00    0.12   0.349   0.049   0.015   0.011   0.005   0.004
 1997 152     5  22.80  33.00  23.00  5.795  0.000  5.795  0.417  0.000  0.402  0.000  0.015   29.42    5.20    0.00    5.06    0.00    0.14   0.317   0.049   0.015   0.011   0.005   0.004
 1997 153     6  19.00  33.60  23.40  4.866  0.000  4.866  0.384  0.000  0.372  0.000  0.012   34.28    5.58    0.00    5.43    0.00    0.15   0.289   0.048   0.015   0.011   0.005   0.004
 1997 154     7  22.90  33.50  22.30  5.808  0.000  5.808  0.355  0.000  0.346  0.000  0.009   40.09    5.94    0.00    5.78    0.00    0.16   0.262   0.048   0.015   0.011   0.005   0.004
 1997 155     8  13.20  31.50  23.00  3.291  0.000  3.291  0.630  0.000  0.623  0.000  0.007   43.38    6.57    0.00    6.40    0.00    0.17   0.540   0.048   0.014   0.011   0.005   0.004
 1997 156     9  13.10  27.00  21.50  3.155  0.000  3.155  0.964  0.000  0.876  0.000  0.089   46.54    7.53    0.00    7.27    0.00    0.26   0.793   0.048   0.014   0.011   0.005   0.004
 1997 157    10  20.80  32.00  21.30  5.264  0.000  5.264  0.932  0.000  0.863  0.000  0.068   51.80    8.46    0.00    8.14    0.00    0.32   0.781   0.047   0.014   0.011   0.005   0.004
