*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 1997 147     0   0.274    0.07    1000    0.19
 1997 148     1   0.274    0.07    1000    0.15
 1997 149     2   0.274    0.07    1000    0.11
 1997 150     3   0.274    0.07    1000    0.09
 1997 151     4   0.274    0.07    1000    0.07
 1997 152     5   0.274    0.07    1000    0.05
 1997 153     6   0.274    0.07    1000    0.04
 1997 154     7   0.274    0.07    1000    0.03
 1997 155     8   0.274    0.07    1000    0.38
 1997 156     9   0.274    0.07    1000    0.29
 1997 157    10   0.274    0.07    1000    0.40
 1997 158    11   0.274    0.07    1000    0.31
 1997 159    12   0.274    0.07    1000    0.24
 1997 160    13   0.274    0.07    1000    0.18
 1997 161    14   0.274    0.07    1000    0.14
 1997 162    15   0.274    0.07    1000    0.39
 1997 163    16   0.274    0.07    1000    0.30
 1997 164    17   0.274    0.07    1000    0.40
 1997 165    18   0.274    0.07    1000    0.36
 1997 166    19   0.274    0.07    1000    0.27
 1997 167    20   0.274    0.07    1000    0.40
 1997 168    21   0.274    0.07    1000    0.31
 1997 169    22   0.274    0.07    1001    0.24
 1997 170    23   0.274    0.07    1001    0.40
 1997 171    24   0.274    0.07    1001    0.30
 1997 172    25   0.274    0.07    1001    0.23
 1997 173    26   0.274    0.07    1001    0.40
 1997 174    27   0.274    0.07    1001    0.34
 1997 175    28   0.274    0.07    1001    0.26
 1997 176    29   0.274    0.07    1001    0.20
 1997 177    30   0.274    0.07    1002    0.15
 1997 178    31   0.274    0.07    1002    0.12
 1997 179    32   0.274    0.07    1002    0.39
 1997 180    33   0.274    0.07    1002    0.30
 1997 181    34   0.274    0.07    1003    0.40
 1997 182    35   0.275    0.07    1003    0.31
 1997 183    36   0.275    0.07    1003    0.24
 1997 184    37   0.275    0.07    1004    0.18
 1997 185    38   0.275    0.07    1004    0.14
 1997 186    39   0.275    0.07    1004    0.39
 1997 187    40   0.275    0.07    1005    0.30
 1997 188    41   0.275    0.07    1006    0.23
 1997 189    42   0.275    0.07    1006    0.18
 1997 190    43   0.275    0.07    1007    0.14
 1997 191    44   0.276    0.07    1008    0.39
 1997 192    45   0.276    0.07    1008    0.30
 1997 193    46   0.276    0.07    1009    0.40
 1997 194    47   0.276    0.07    1010    0.31
 1997 195    48   0.277    0.07    1013    0.41
 1997 196    49   0.277    0.07    1015    0.36
 1997 197    50   0.278    0.07    1018    0.40
 1997 198    51   0.278    0.07    1019    0.30
 1997 199    52   0.279    0.07    1021    0.23
 1997 200    53   0.279    0.07    1022    0.18
 1997 201    54   0.279    0.07    1024    0.27
 1997 202    55   0.280    0.07    1026    0.37
 1997 203    56   0.280    0.07    1028    0.28
 1997 204    57   0.281    0.07    1030    0.41
 1997 205    58   0.281    0.07    1031    0.36
 1997 206    59   0.282    0.07    1034    0.27
 1997 207    60   0.282    0.07    1036    0.21
 1997 208    61   0.283    0.07    1038    0.16
 1997 209    62   0.283    0.07    1041    0.12
 1997 210    63   0.284    0.07    1043    0.40
 1997 211    64   0.284    0.08    1046    0.33
 1997 212    65   0.285    0.08    1049    0.25
 1997 213    66   0.286    0.08    1052    0.42
 1997 214    67   0.287    0.08    1055    0.32
 1997 215    68   0.287    0.08    1058    0.24
 1997 216    69   0.288    0.08    1061    0.18
 1997 217    70   0.289    0.08    1064    0.42
 1997 218    71   0.289    0.08    1068    0.33
 1997 219    72   0.290    0.08    1071    0.25
 1997 220    73   0.291    0.08    1074    0.19
 1997 221    74   0.292    0.08    1078    0.14
 1997 222    75   0.292    0.08    1081    0.11
 1997 223    76   0.293    0.08    1084    0.08
 1997 224    77   0.294    0.08    1087    0.06
 1997 225    78   0.295    0.08    1090    0.05
 1997 226    79   0.295    0.08    1093    0.04
 1997 227    80   0.296    0.08    1097    0.42
 1997 228    81   0.297    0.08    1100    0.31
 1997 229    82   0.297    0.08    1103    0.24
 1997 230    83   0.298    0.08    1106    0.44
 1997 231    84   0.299    0.08    1109    0.33
 1997 232    85   0.299    0.08    1112    0.25
 1997 233    86   0.300    0.08    1115    0.44
 1997 234    87   0.301    0.09    1118    0.33
 1997 235    88   0.302    0.09    1121    0.25
 1997 236    89   0.302    0.09    1124    0.18
 1997 237    90   0.303    0.09    1127    0.44
 1997 238    91   0.303    0.09    1129    0.33
 1997 239    92   0.304    0.09    1131    0.46
 1997 240    93   0.304    0.09    1133    0.34
 1997 241    94   0.305    0.09    1136    0.46
 1997 242    95   0.305    0.09    1138    0.34
 1997 243    96   0.306    0.09    1141    0.25
 1997 244    97   0.306    0.09    1143    0.19
 1997 245    98   0.307    0.09    1145    0.14
 1997 246    99   0.307    0.09    1147    0.32
 1997 247   100   0.307    0.09    1148    0.39
 1997 248   101   0.308    0.09    1150    0.42
 1997 249   102   0.308    0.09    1151    0.31

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   2        : 97 DATE1 F-MIX            CRGRO045 GHNY9701    2              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  2   : 97 DATE1 F-MIX            CRGRO045                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 1997 147     0   0.274    0.07    1000    0.19
 1997 148     1   0.274    0.07    1000    0.15
 1997 149     2   0.274    0.07    1000    0.11
 1997 150     3   0.274    0.07    1000    0.09
 1997 151     4   0.274    0.07    1000    0.07
 1997 152     5   0.274    0.07    1000    0.05
 1997 153     6   0.274    0.07    1000    0.04
 1997 154     7   0.274    0.07    1000    0.03
 1997 155     8   0.274    0.07    1000    0.38
 1997 156     9   0.274    0.07    1000    0.29
 1997 157    10   0.274    0.07    1000    0.40
 1997 158    11   0.274    0.07    1000    0.31
 1997 159    12   0.274    0.07    1000    0.24
 1997 160    13   0.274    0.07    1000    0.18
 1997 161    14   0.274    0.07    1000    0.14
 1997 162    15   0.274    0.07    1000    0.39
 1997 163    16   0.274    0.07    1000    0.30
 1997 164    17   0.274    0.07    1000    0.40
 1997 165    18   0.274    0.07    1000    0.36
 1997 166    19   0.274    0.07    1000    0.27
 1997 167    20   0.274    0.07    1000    0.40
 1997 168    21   0.274    0.07    1001    0.31
 1997 169    22   0.274    0.07    1001    0.24
 1997 170    23   0.274    0.07    1001    0.40
 1997 171    24   0.274    0.07    1001    0.30
 1997 172    25   0.274    0.07    1001    0.23
 1997 173    26   0.274    0.07    1001    0.40
 1997 174    27   0.274    0.07    1001    0.34
 1997 175    28   0.274    0.07    1001    0.26
 1997 176    29   0.274    0.07    1001    0.20
 1997 177    30   0.274    0.07    1002    0.15
 1997 178    31   0.274    0.07    1002    0.12
 1997 179    32   0.274    0.07    1002    0.39
 1997 180    33   0.274    0.07    1002    0.30
 1997 181    34   0.274    0.07    1003    0.40
 1997 182    35   0.275    0.07    1003    0.31
 1997 183    36   0.275    0.07    1003    0.24
 1997 184    37   0.275    0.07    1004    0.18
 1997 185    38   0.275    0.07    1004    0.14
 1997 186    39   0.275    0.07    1004    0.39
 1997 187    40   0.275    0.07    1005    0.30
 1997 188    41   0.275    0.07    1006    0.23
 1997 189    42   0.275    0.07    1006    0.18
 1997 190    43   0.275    0.07    1007    0.14
 1997 191    44   0.276    0.07    1008    0.39
 1997 192    45   0.276    0.07    1009    0.30
 1997 193    46   0.276    0.07    1009    0.40
 1997 194    47   0.276    0.07    1010    0.31
 1997 195    48   0.277    0.07    1013    0.41
 1997 196    49   0.277    0.07    1015    0.36
 1997 197    50   0.278    0.07    1018    0.40
 1997 198    51   0.279    0.07    1021    0.30
 1997 199    52   0.279    0.07    1023    0.23
 1997 200    53   0.280    0.07    1025    0.18
 1997 201    54   0.280    0.07    1027    0.28
 1997 202    55   0.280    0.07    1028    0.37
 1997 203    56   0.281    0.07    1030    0.28
 1997 204    57   0.281    0.07    1033    0.41
 1997 205    58   0.282    0.07    1035    0.36
 1997 206    59   0.282    0.07    1037    0.27
 1997 207    60   0.283    0.07    1040    0.21
 1997 208    61   0.284    0.07    1042    0.16
 1997 209    62   0.284    0.07    1045    0.12
 1997 210    63   0.285    0.08    1048    0.41
 1997 211    64   0.286    0.08    1051    0.34
 1997 212    65   0.286    0.08    1055    0.27
 1997 213    66   0.287    0.08    1058    0.41
 1997 214    67   0.288    0.08    1062    0.31
 1997 215    68   0.289    0.08    1065    0.23
 1997 216    69   0.290    0.08    1069    0.18
 1997 217    70   0.291    0.08    1073    0.42
 1997 218    71   0.291    0.08    1076    0.36
 1997 219    72   0.292    0.08    1080    0.27
 1997 220    73   0.293    0.08    1084    0.21
 1997 221    74   0.294    0.08    1088    0.15
 1997 222    75   0.295    0.08    1092    0.12
 1997 223    76   0.296    0.08    1097    0.09
 1997 224    77   0.297    0.08    1101    0.07
 1997 225    78   0.298    0.08    1105    0.05
 1997 226    79   0.299    0.08    1109    0.04
 1997 227    80   0.300    0.08    1114    0.42
 1997 228    81   0.301    0.09    1118    0.32
 1997 229    82   0.302    0.09    1123    0.24
 1997 230    83   0.303    0.09    1127    0.45
 1997 231    84   0.304    0.09    1132    0.33
 1997 232    85   0.305    0.09    1136    0.25
 1997 233    86   0.306    0.09    1141    0.45
 1997 234    87   0.307    0.09    1146    0.34
 1997 235    88   0.308    0.09    1151    0.29
 1997 236    89   0.309    0.09    1156    0.21
 1997 237    90   0.310    0.09    1161    0.46
 1997 238    91   0.312    0.09    1166    0.34
 1997 239    92   0.313    0.09    1172    0.47
 1997 240    93   0.314    0.09    1176    0.40
 1997 241    94   0.315    0.09    1181    0.41
 1997 242    95   0.316    0.10    1186    0.30
 1997 243    96   0.317    0.10    1191    0.22
 1997 244    97   0.318    0.10    1196    0.16
 1997 245    98   0.319    0.10    1201    0.12
 1997 246    99   0.320    0.10    1206    0.31
 1997 247   100   0.321    0.10    1210    0.41
 1997 248   101   0.322    0.10    1215    0.43
 1997 249   102   0.323    0.10    1219    0.33
 1997 250   103   0.324    0.10    1223    0.24
 1997 251   104   0.325    0.10    1227    0.49
 1997 252   105   0.326    0.10    1232    0.43
 1997 253   106   0.327    0.10    1236    0.45
 1997 254   107   0.327    0.10    1240    0.33
 1997 255   108   0.328    0.10    1244    0.24
 1997 256   109   0.329    0.10    1247    0.50
 1997 257   110   0.330    0.11    1251    0.37
 1997 258   111   0.331    0.11    1255    0.50
 1997 259   112   0.331    0.11    1258    0.36
 1997 260   113   0.332    0.11    1262    0.52
 1997 261   114   0.333    0.11    1265    0.51
 1997 262   115   0.334    0.11    1269    0.37
 1997 263   116   0.334    0.11    1272    0.27
 1997 264   117   0.335    0.11    1276    0.19
 1997 265   118   0.336    0.11    1279    0.51
 1997 266   119   0.337    0.11    1282    0.44
 1997 267   120   0.337    0.11    1285    0.42
 1997 268   121   0.338    0.11    1288    0.35
 1997 269   122   0.338    0.11    1291    0.25
 1997 270   123   0.339    0.11    1294    0.52

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 08, 2014; 00:45:26
                                                                                
*RUN   3        : 97 DATE2 CHINESE          CRGRO045 GHNY9701    3              
 MODEL          : CRGRO045 - Peanut                                             
