*Output file list

@FILENAME          DESCRIPTION
ET.OUT             Daily soil-plant-atmosphere output file           
Pest.OUT           Daily pest and disease damage output file         
PlantC.OUT         Daily plant carbon output file                    
PlantGro.OUT       Daily plant growth output file                    
PlantN.OUT         Daily plant nitrogen output file                  
SoilNi.OUT         Daily inorganic soil N output file                
SoilTemp.OUT       Daily soil temperature output file                
SoilWat.OUT        Daily soil water output file                      
Weather.OUT        Daily weather output file                         
Mulch.OUT          Daily surface mulch output file                   
Evaluate.OUT       Evaluation output file (simulated vs. measured)   
OVERVIEW.OUT       Seasonal overview output file                     
PlantNBal.OUT      Plant nitrogen balance                            
SolNBalSum.OUT     Soil N balance summary                            
SoilNiBal.OUT      Seasonal inorganic soil N balance                 
SoilNoBal.OUT      Seasonal organic soil N balance                   
SoilWatBal.OUT     Seasonal soil water balance                       
Summary.OUT        Seasonal summary output file                      
INFO.OUT           Information output file                           
WARNING.OUT        Warning messages                                  
