*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90     0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1997 148     0     0     0     0.0    0.3    0.1    0.1    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1997 149     1     0     0     0.0    0.4    0.2    0.3    0.02    0.01    0.01    0.01    0.01    0.01    0.01    0.02    0.02    0.02    0.03    0.02    0.17    0.02    0.00    0.00    0.00    0.17    0.00
 1997 150     2     0     0     0.0    0.6    0.2    0.4    0.04    0.02    0.01    0.01    0.01    0.01    0.01    0.03    0.03    0.04    0.04    0.03    0.34    0.05    0.00    0.00    0.00    0.34    0.00
 1997 151     3     0     0     0.0    0.8    0.2    0.6    0.05    0.03    0.01    0.02    0.02    0.01    0.01    0.03    0.04    0.05    0.05    0.04    0.52    0.10    0.00    0.00    0.00    0.52    0.00
 1997 152     4     0     0     0.0    1.0    0.3    0.7    0.07    0.04    0.02    0.02    0.02    0.01    0.01    0.04    0.04    0.06    0.07    0.05    0.71    0.15    0.00    0.00    0.00    0.71    0.00
 1997 153     5     0     0     0.0    1.2    0.4    0.8    0.08    0.05    0.02    0.03    0.03    0.01    0.01    0.04    0.05    0.08    0.08    0.06    0.89    0.22    0.00    0.00    0.00    0.89    0.00
 1997 154     6     0     0     0.0    1.4    0.4    0.9    0.10    0.06    0.03    0.03    0.03    0.01    0.01    0.04    0.06    0.09    0.09    0.07    1.08    0.30    0.00    0.00    0.00    1.08    0.00
 1997 155     7     0     0     0.0    1.6    0.5    1.0    0.11    0.07    0.03    0.04    0.04    0.02    0.01    0.04    0.06    0.10    0.10    0.08    1.28    0.39    0.00    0.00    0.00    1.28    0.00
 1997 156     8     0     0     0.0    1.8    0.6    1.1    0.13    0.08    0.04    0.05    0.05    0.02    0.02    0.04    0.07    0.11    0.11    0.08    1.48    0.48    0.00    0.00    0.00    1.48    0.00
 1997 157     9     0     0     0.0    1.9    0.7    1.2    0.15    0.10    0.04    0.06    0.06    0.02    0.01    0.05    0.07    0.12    0.12    0.09    1.67    0.59    0.00    0.00    0.00    1.67    0.00
 1997 158    10     0     0     0.0    2.1    0.8    1.3    0.18    0.11    0.05    0.07    0.07    0.02    0.02    0.05    0.08    0.12    0.13    0.10    1.87    0.69    0.00    0.00    0.00    1.87    0.00
 1997 159    11     0     0     0.0    2.3    0.9    1.4    0.20    0.12    0.06    0.08    0.08    0.03    0.02    0.05    0.08    0.13    0.14    0.11    2.06    0.80    0.00    0.00    0.00    2.06    0.00
 1997 160    12     0     0     0.0    2.5    1.0    1.5    0.23    0.13    0.06    0.09    0.09    0.03    0.02    0.05    0.09    0.14    0.14    0.12    2.25    0.91    0.00    0.00    0.00    2.25    0.00
