*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         OCT 13, 2014; 10:48:17
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN able [sltx] with oversized content [1 SALO], only 
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-45   45-60   60-90
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 1997 148     0   157    65      0      0      0     0     0     0    0.19   0.0   0.0   0.00   0.108   0.108   0.108   0.227   0.213   0.196
 1997 149     1   156    63      0      0      0     0     0    45    0.15   0.0   0.0   0.00   0.107   0.107   0.107   0.225   0.208   0.196
 1997 150     2   154    62      0      0      0     0     0    90    0.11   0.0   0.0   0.00   0.106   0.106   0.106   0.223   0.206   0.194
 1997 151     3   153    60      0      0      0     0     0    90    0.09   0.0   0.0   0.00   0.105   0.105   0.105   0.221   0.204   0.192
 1997 152     4   153    60      0      0      0     0     0    90    0.07   0.0   0.0   0.00   0.098   0.105   0.105   0.221   0.204   0.192
 1997 153     5   152    60      0      0      0     0     0    90    0.05   0.0   0.0   0.00   0.092   0.104   0.105   0.220   0.204   0.192
 1997 154     6   152    59      0      0      0     0     0    90    0.04   0.0   0.0   0.00   0.086   0.104   0.105   0.220   0.204   0.192
 1997 155     7   158    65      0      0      7     0     0    90    0.38   0.0   0.0   0.00   0.208   0.103   0.105   0.220   0.204   0.192
 1997 156     8   157    64      0      0      7     0     0    90    0.29   0.0   0.0   0.00   0.192   0.103   0.105   0.220   0.204   0.192
 1997 157     9   157    65      0      0      9     0     0    90    0.40   0.0   0.0   0.00   0.202   0.102   0.104   0.220   0.204   0.192
 1997 158    10   156    64      0      0      9     0     0    90    0.31   0.0   0.0   0.00   0.186   0.101   0.104   0.220   0.204   0.192
 1997 159    11   155    63      0      0      9     0     0    90    0.24   0.0   0.0   0.00   0.171   0.101   0.104   0.220   0.204   0.192
