*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1997 149     1    0.0   12.5   13.4   23.5   47.0   0.20   32.5   23.0   27.6   29.2   23.0   27.6   29.2   86.4  363.5
 1997 150     2    0.0   12.5   13.4   24.1   48.2   0.18   34.0   24.2   29.0   30.6   24.2   29.0   30.6   86.4  363.5
 1997 151     3    0.0   12.5   13.4   22.5   45.0   0.23   33.0   24.5   28.6   30.1   24.5   28.6   30.1   86.4  363.5
 1997 152     4    0.0   12.5   13.4   22.8   45.6   0.22   33.0   23.0   27.9   29.6   23.0   27.9   29.6   86.4  363.5
 1997 153     5    0.0   12.5   13.4   19.0   38.0   0.35   33.6   23.4   28.4   30.1   23.4   28.4   30.1   86.4  363.5
 1997 154     6    0.0   12.5   13.4   22.9   45.8   0.22   33.5   22.3   27.7   29.6   22.3   27.7   29.6   86.4  363.5
 1997 155     7    7.0   12.5   13.4   13.2   26.4   0.55   31.5   23.0   27.1   28.6   23.0   27.1   28.6   86.4  363.5
 1997 156     8    0.0   12.5   13.4   13.1   26.2   0.55   27.0   21.5   24.2   25.1   21.5   24.2   25.1   86.4  363.5
 1997 157     9    1.5   12.5   13.4   20.8   41.6   0.29   32.0   21.3   26.5   28.3   21.3   26.5   28.3   86.4  363.5
 1997 158    10    0.0   12.5   13.4   15.1   30.2   0.48   31.0   22.8   26.8   28.2   22.8   26.8   28.2   86.4  363.5
 1997 159    11    0.0   12.5   13.4   16.2   32.4   0.45   33.6   23.9   28.6   30.3   23.9   28.6   30.3   86.4  363.5
 1997 160    12    0.0   12.5   13.4   23.0   46.0   0.21   34.0   23.0   28.4   30.2   23.0   28.4   30.2   86.4  363.5
 1997 161    13    0.0   12.5   13.4   16.6   33.2   0.43   32.4   23.5   27.8   29.3   23.5   27.8   29.3   86.4  363.5
 1997 162    14    6.5   12.5   13.4    8.5   17.0   0.71   27.2   24.8   26.0   26.4   24.8   26.0   26.4   86.4  363.5
 1997 163    15    0.0   12.5   13.4   20.8   41.6   0.29   30.5   21.0   25.6   27.2   21.0   25.6   27.2   86.4  363.5
 1997 164    16   43.7   12.5   13.4   10.7   21.4   0.63   31.0   23.5   27.1   28.4   23.5   27.1   28.4   86.4  363.5
 1997 165    17    0.5   12.5   13.4   15.8   31.6   0.46   31.0   21.6   26.2   27.8   21.6   26.2   27.8   86.4  363.5
 1997 166    18    0.0   12.5   13.4   14.4   28.8   0.51   30.0   22.5   26.1   27.4   22.5   26.1   27.4   86.4  363.6
 1997 167    19   16.4   12.5   13.4   16.9   33.8   0.42   30.6   22.9   26.6   28.0   22.9   26.6   28.0   86.4  363.6
 1997 168    20    0.0   12.5   13.4   21.0   42.0   0.28   30.2   20.6   25.3   26.9   20.6   25.3   26.9   86.4  363.6
 1997 169    21    0.0   12.5   13.4   22.7   45.4   0.22   32.4   21.5   26.8   28.7   21.5   26.8   28.7   86.4  363.6
 1997 170    22   21.0   12.5   13.4   16.9   33.8   0.42   32.5   20.6   26.4   28.4   20.6   26.4   28.4   86.4  363.6
 1997 171    23    0.0   12.6   13.4   23.0   46.0   0.21   30.5   21.0   25.6   27.2   21.0   25.6   27.2   86.4  363.6
 1997 172    24    0.0   12.6   13.4   22.7   45.4   0.22   32.5   23.5   27.9   29.4   23.5   27.9   29.4   86.4  363.6
 1997 173    25    9.4   12.6   13.4    8.5   17.0   0.71   32.0   24.5   28.1   29.4   24.5   28.1   29.4   86.4  363.6
 1997 174    26    4.0   12.6   13.4   10.4   20.8   0.64   25.5   20.3   22.8   23.7   20.3   22.8   23.7   86.4  363.6
 1997 175    27    0.0   12.5   13.4   13.0   26.0   0.56   29.0   21.0   24.9   26.3   21.0   24.9   26.3   86.4  363.6
 1997 176    28    0.0   12.5   13.4   16.5   33.0   0.44   31.0   23.5   27.1   28.4   23.5   27.1   28.4   86.4  363.6
 1997 177    29    0.0   12.5   13.4   24.1   48.2   0.18   31.5   23.0   27.1   28.6   23.0   27.1   28.6   86.4  363.6
 1997 178    30    0.0   12.5   13.4   21.8   43.6   0.25   32.0   23.0   27.4   28.9   23.0   27.4   28.9   86.4  363.6
 1997 179    31   37.0   12.5   13.4   13.1   26.2   0.55   32.0   21.2   26.5   28.3   21.2   26.5   28.3   86.4  363.6
 1997 180    32    0.0   12.5   13.4   23.0   46.0   0.21   30.7   23.0   26.7   28.1   23.0   26.7   28.1   86.4  363.6
 1997 181    33    8.8   12.5   13.4   16.4   32.8   0.44   29.5   23.4   26.4   27.4   23.4   26.4   27.4   86.4  363.6
 1997 182    34    0.0   12.5   13.4   19.3   38.6   0.34   29.5   25.0   27.2   28.0   25.0   27.2   28.0   86.4  363.6
