ApsimVersion = 7.5
Title = GHWA0401_9-N120 P90
           Date        biomass          yield            esw            lai
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)
     10/10/2003            0.0            0.0         36.488          0.000
     11/10/2003            0.0            0.0         35.767          0.000
     12/10/2003            0.0            0.0         40.645          0.000
     13/10/2003            0.0            0.0         37.955          0.000
     14/10/2003            0.0            0.0         43.686          0.000
     15/10/2003            0.0            0.0         79.063          0.000
     16/10/2003            0.0            0.0         73.742          0.000
     17/10/2003            0.0            0.0         69.581          0.000
     18/10/2003            0.0            0.0         59.602          0.000
     19/10/2003            0.0            0.0         53.129          0.000
     20/10/2003            0.0            0.0         48.734          0.000
     21/10/2003            0.0            0.0         45.128          0.000
     22/10/2003            0.0            0.0         43.369          0.000
     23/10/2003            0.0            0.0         44.750          0.000
     24/10/2003            0.0            0.0         41.852          0.000
     25/10/2003            0.0            0.0         40.611          0.000
     26/10/2003            0.0            0.0         39.900          0.000
     27/10/2003            0.0            0.0         39.483          0.000
     28/10/2003            0.0            0.0         39.231          0.000
     29/10/2003            0.0            0.0         39.068          0.000
     30/10/2003            0.0            0.0         38.977          0.000
     31/10/2003            0.0            0.0         38.879          0.000
     01/11/2003            0.0            0.0         38.791          0.000
     02/11/2003            0.0            0.0         38.708          0.000
     03/11/2003            0.0            0.0         38.627          0.000
     04/11/2003            0.0            0.0         38.548          0.000
     05/11/2003            0.0            0.0         38.469          0.000
     06/11/2003            0.0            0.0         47.440          0.000
     07/11/2003            0.0            0.0         52.131          0.000
     08/11/2003            0.0            0.0         49.027          0.000
     09/11/2003            0.0            0.0         45.276          0.000
     10/11/2003            0.0            0.0         43.294          0.000
     11/11/2003            0.0            0.0         41.590          0.000
     12/11/2003            0.0            0.0         40.360          0.000
     13/11/2003            0.0            0.0         39.698          0.000
     14/11/2003            0.0            0.0         39.332          0.000
     15/11/2003            0.0            0.0         39.117          0.000
     16/11/2003            0.0            0.0         38.974          0.000
     17/11/2003            0.0            0.0         38.866          0.000
     18/11/2003            0.0            0.0         38.773          0.000
     19/11/2003            0.0            0.0         38.688          0.000
     20/11/2003            0.0            0.0         38.607          0.000
     21/11/2003            0.0            0.0         38.527          0.000
     22/11/2003            0.0            0.0         38.449          0.000
     23/11/2003            0.0            0.0         38.371          0.000
     24/11/2003            0.0            0.0         38.294          0.000
     25/11/2003            0.0            0.0         38.217          0.000
     26/11/2003            0.0            0.0         38.141          0.000
     27/11/2003            0.0            0.0         38.065          0.000
     28/11/2003            0.0            0.0         37.990          0.000
     29/11/2003            0.0            0.0         37.915          0.000
     30/11/2003            0.0            0.0         37.841          0.000
     01/12/2003            0.0            0.0         37.767          0.000
     02/12/2003            0.0            0.0         37.693          0.000
     03/12/2003            0.0            0.0         37.620          0.000
     04/12/2003            0.0            0.0         37.547          0.000
     05/12/2003            0.0            0.0         37.475          0.000
     06/12/2003            0.0            0.0         37.403          0.000
     07/12/2003            0.0            0.0         37.331          0.000
     08/12/2003            0.0            0.0         37.260          0.000
     09/12/2003            0.0            0.0         37.190          0.000
     10/12/2003            0.0            0.0         37.119          0.000
     11/12/2003            0.0            0.0         37.049          0.000
     12/12/2003            0.0            0.0         36.979          0.000
     13/12/2003            0.0            0.0         36.910          0.000
     14/12/2003            0.0            0.0         36.841          0.000
     15/12/2003            0.0            0.0         36.773          0.000
     16/12/2003            0.0            0.0         36.704          0.000
     17/12/2003            0.0            0.0         36.636          0.000
     18/12/2003            0.0            0.0         36.569          0.000
     19/12/2003            0.0            0.0         36.502          0.000
     20/12/2003            0.0            0.0         36.435          0.000
     21/12/2003            0.0            0.0         36.368          0.000
     22/12/2003            0.0            0.0         36.302          0.000
     23/12/2003            0.0            0.0         36.236          0.000
     24/12/2003            0.0            0.0         36.171          0.000
     25/12/2003            0.0            0.0         36.105          0.000
     26/12/2003            0.0            0.0         36.040          0.000
     27/12/2003            0.0            0.0         35.976          0.000
     28/12/2003            0.0            0.0         35.911          0.000
     29/12/2003            0.0            0.0         35.847          0.000
     30/12/2003            0.0            0.0         35.784          0.000
     31/12/2003            0.0            0.0         35.720          0.000
     01/01/2004            0.0            0.0         35.657          0.000
     02/01/2004            0.0            0.0         35.594          0.000
     03/01/2004            0.0            0.0         35.531          0.000
