
*SOIL N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 07, 2014; 01:44:25

!                     |------------------- N State Variables -------------------| |------------ N Additions ------------| |---------- N Subtractions -----------| |-Mineralization--|
!                                                                                   Harvest   Applied                                  Denit-             Ammonia    Miner-    Immob-  Seasonal
!                       Surface      SOM1      SOM2      SOM3    Litter     Inorg   Residue   Residue  Fertiliz   Senesed   Leached    rified    Uptake  Volatil.    alized    ilized   Balance
@Run FILEX         TN      SN0D     S1NTD     S2NTD     S3NTD      LNTD      NIAD      HRNH     RESNC      NICM     SNNTC      NLCM      NDNC      NUCM      AMLS      NMNC      NIMC   SEASBAL
   1 GHWA0401.MZX INIT    16.63      6.43     71.89   6888.50      1.35     48.24
   1 GHWA0401.MZX   1      1.10      3.25     64.73   6850.47      0.05      9.22      0.00      0.00      0.00      0.22     92.53      0.35     11.56      0.00     78.02     12.59      0.00
   2 GHWA0401.MZX   2      1.88      3.69     66.27   6844.84      0.18      9.06      0.00      0.00      0.00      0.41     98.98      0.36     15.35      0.00     97.84     22.33      0.00
   3 GHWA0401.MZX   3      1.88      3.69     66.27   6844.84      0.18      9.06      0.00      0.00      0.00      0.41     98.98      0.36     15.35      0.00     97.84     22.33      0.00
   4 GHWA0401.MZX   4      1.59      3.26     65.43   6849.58      0.04     11.79      0.00      0.00     60.00      0.14    138.35      0.97     28.28      0.00     87.93     16.80      0.00
   5 GHWA0401.MZX   5      4.36      4.85     67.83   6823.75      0.54      8.66      0.00      0.00     60.00      1.84    129.21      0.94     75.49      0.00    154.95     48.89      0.00
   6 GHWA0401.MZX   6      4.36      4.87     71.30   6844.81      0.53      8.67      0.00      0.00     60.00      1.67    130.13      0.96     75.76      0.00    156.43     49.16      0.00
   7 GHWA0401.MZX   7      1.46      3.33     65.38   6850.02      0.04     16.10      0.00      0.00    120.00      0.14    191.86      1.74     27.89      0.00     85.14     15.79      0.00
   8 GHWA0401.MZX   8      3.70      5.52     82.48   6852.03      0.75      8.90      0.00      0.00    120.00      2.92    129.60      1.04    131.35      0.00    146.59     43.93      0.00
   9 GHWA0401.MZX   9      3.85      5.43     81.52   6851.02      0.72      8.80      0.00      0.00    120.00      2.57    131.17      1.05    131.63      0.00    150.33     45.92      0.00
