
*SOIL P BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 07, 2014; 01:44:25

!                     |-------------- P State Variables ---------------| |------------ P Additions ------------||Subtract| |-Mineralization--|
!                                                                         Harvest   Applied                                  Miner-    Immob-  Seasonal
!                       Surface      SOM1     SOM23    Litter     Inorg   Residue   Residue  Fertiliz   Senesed    Uptake    alized    ilized   Balance
@Run FILEX         TN      SP0D     S1PTD    S23PTD      LPTD      PIAD      HRPH     RESPC      PICM     SNPTC      PUPC      PMNC      PIMC   SEASBAL
   1 GHWA0401.MZX INIT    3.871     2.144   194.515     0.240  5707.839
   1 GHWA0401.MZX   1     2.301     5.790   193.610     0.007  5703.150     0.000     0.000     0.000     0.007     3.757     3.414     4.346     0.000
   2 GHWA0401.MZX   2     2.772     6.508   194.300     0.035  5850.761     0.000     0.000    26.000     0.045     5.547     5.552     4.797     0.000
   3 GHWA0401.MZX   3     2.772     6.600   194.301     0.035  5918.323     0.000     0.000    39.000     0.045     5.547     5.552     4.890     0.000
   4 GHWA0401.MZX   4     2.510     5.867   193.736     0.006  5697.106     0.000     0.000     0.000     0.004     4.296     4.644     4.209     0.001
   5 GHWA0401.MZX   5     6.138     7.513   195.448     0.091  5710.459     0.000     0.000    26.000     0.114    21.494    11.359     6.126     0.000
   6 GHWA0401.MZX   6     6.138     7.774   196.116     0.091  5769.781     0.000     0.000    39.000     0.113    21.725    11.409     6.289     0.002
   7 GHWA0401.MZX   7     2.538     5.844   193.699     0.006  5696.770     0.000     0.000     0.000     0.004     4.179     4.283     4.302     0.001
   8 GHWA0401.MZX   8     5.153     8.270   196.355     0.101  5586.107     0.000     0.000    26.000     0.134    29.912    10.001     6.097     0.000
   9 GHWA0401.MZX   9     5.363     8.418   196.588     0.104  5702.625     0.000     0.000    39.000     0.133    31.230    10.401     6.380    -0.001
