ApsimVersion = 7.5
Title = ITHY8001_1-0 N check plot
           Date        biomass          yield            esw            lai
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (mm)        (m2/m2)
     13/06/1980            0.0            0.0         20.700          0.000
     14/06/1980            0.0            0.0         22.113          0.000
     15/06/1980            0.0            0.0         50.251          0.000
     16/06/1980            0.0            0.0         67.166          0.000
     17/06/1980            0.0            0.0         63.856          0.000
     18/06/1980            0.0            0.0         60.632          0.000
     19/06/1980            0.0            0.0         58.886          0.000
     20/06/1980            0.0            0.0         57.660          0.000
     21/06/1980           36.0            0.0         56.657          0.004
     22/06/1980           36.3            0.0         55.781          0.004
     23/06/1980           36.7            0.0         54.997          0.004
     24/06/1980           36.9            0.0         54.281          0.004
     25/06/1980           37.3            0.0         53.619          0.004
     26/06/1980           37.6            0.0         54.071          0.004
     27/06/1980           38.0            0.0         52.988          0.004
     28/06/1980           38.3            0.0         52.400          0.004
     29/06/1980           38.6            0.0         51.843          0.004
     30/06/1980           38.8            0.0         51.313          0.004
     01/07/1980           39.0            0.0         69.771          0.004
     02/07/1980           39.1            0.0         73.347          0.004
     03/07/1980           39.3            0.0         74.646          0.004
     04/07/1980           39.7            0.0         70.062          0.004
     05/07/1980           40.2            0.0         67.168          0.004
     06/07/1980           40.6            0.0         65.730          0.004
     07/07/1980           41.0            0.0         64.619          0.004
     08/07/1980           41.3            0.0         63.681          0.004
     09/07/1980           41.6            0.0         62.852          0.004
     10/07/1980           42.0            0.0         62.103          0.004
     11/07/1980           42.2            0.0         61.413          0.004
     12/07/1980           42.5            0.0         62.540          0.004
     13/07/1980           42.8            0.0         60.768          0.004
     14/07/1980           43.3            0.0         60.163          0.004
     15/07/1980           43.4            0.0         59.593          0.004
     16/07/1980           43.6            0.0         59.052          0.004
     17/07/1980           44.0            0.0         58.533          0.004
     18/07/1980           44.5            0.0         58.029          0.004
     19/07/1980           44.9            0.0         57.544          0.004
     20/07/1980           45.1            0.0         57.080          0.004
     21/07/1980           45.4            0.0         56.633          0.004
     22/07/1980           45.8            0.0         63.273          0.004
     23/07/1980           45.9            0.0         82.048          0.004
     24/07/1980           46.1            0.0         83.071          0.004
     25/07/1980           46.3            0.0         91.736          0.004
     26/07/1980           46.5            0.0         98.414          0.004
     27/07/1980           46.7            0.0         98.053          0.004
     28/07/1980           47.2            0.0         94.794          0.004
     29/07/1980           47.4            0.0         92.528          0.004
     30/07/1980           47.6            0.0        107.321          0.004
     31/07/1980           48.0            0.0        103.155          0.004
     01/08/1980            0.0            0.0        100.403          0.000
     02/08/1980            0.0            0.0        114.551          0.000
     03/08/1980            0.0            0.0        117.644          0.000
     04/08/1980            0.0            0.0        114.084          0.000
     05/08/1980            0.0            0.0        115.849          0.000
     06/08/1980            0.0            0.0        133.522          0.000
     07/08/1980            0.0            0.0        132.462          0.000
     08/08/1980            0.0            0.0        129.976          0.000
     09/08/1980            0.0            0.0        127.673          0.000
     10/08/1980            0.0            0.0        126.374          0.000
     11/08/1980            0.0            0.0        125.290          0.000
     12/08/1980            0.0            0.0        124.370          0.000
     13/08/1980            0.0            0.0        129.413          0.000
     14/08/1980            0.0            0.0        128.108          0.000
     15/08/1980            0.0            0.0        126.621          0.000
     16/08/1980            0.0            0.0        128.160          0.000
     17/08/1980            0.0            0.0        131.817          0.000
     18/08/1980            0.0            0.0        130.851          0.000
     19/08/1980            0.0            0.0        168.713          0.000
     20/08/1980            0.0            0.0        195.764          0.000
     21/08/1980            0.0            0.0        204.858          0.000
     22/08/1980            0.0            0.0        209.043          0.000
     23/08/1980            0.0            0.0        207.081          0.000
     24/08/1980            0.0            0.0        201.406          0.000
     25/08/1980            0.0            0.0        196.078          0.000
     26/08/1980            0.0            0.0        191.154          0.000
     27/08/1980            0.0            0.0        186.158          0.000
     28/08/1980            0.0            0.0        181.161          0.000
     29/08/1980            0.0            0.0        176.267          0.000
     30/08/1980            0.0            0.0        171.566          0.000
     31/08/1980            0.0            0.0        167.127          0.000
     01/09/1980            0.0            0.0        162.995          0.000
     02/09/1980            0.0            0.0        189.301          0.000
     03/09/1980            0.0            0.0        203.068          0.000
     04/09/1980            0.0            0.0        203.764          0.000
     05/09/1980            0.0            0.0        197.983          0.000
     06/09/1980            0.0            0.0        209.414          0.000
     07/09/1980            0.0            0.0        202.646          0.000
     08/09/1980            0.0            0.0        197.626          0.000
     09/09/1980            0.0            0.0        192.967          0.000
     10/09/1980            0.0            0.0        188.368          0.000
     11/09/1980            0.0            0.0        183.792          0.000
     12/09/1980            0.0            0.0        179.268          0.000
     13/09/1980            0.0            0.0        180.006          0.000
     14/09/1980            0.0            0.0        173.220          0.000
     15/09/1980            0.0            0.0        168.959          0.000
     16/09/1980            0.0            0.0        168.372          0.000
     17/09/1980            0.0            0.0        169.195          0.000
     18/09/1980            0.0            0.0        175.758          0.000
     19/09/1980            0.0            0.0        170.255          0.000
     20/09/1980            0.0            0.0        166.709          0.000
     21/09/1980            0.0            0.0        163.100          0.000
     22/09/1980            0.0            0.0        168.495          0.000
     23/09/1980            0.0            0.0        163.983          0.000
     24/09/1980            0.0            0.0        165.083          0.000
     25/09/1980            0.0            0.0        159.795          0.000
     26/09/1980            0.0            0.0        157.041          0.000
     27/09/1980            0.0            0.0        154.700          0.000
     28/09/1980            0.0            0.0        152.604          0.000
     29/09/1980            0.0            0.0        150.687          0.000
     30/09/1980            0.0            0.0        148.916          0.000
     01/10/1980            0.0            0.0        147.275          0.000
     02/10/1980            0.0            0.0        145.754          0.000
     03/10/1980            0.0            0.0        144.348          0.000
     04/10/1980            0.0            0.0        143.051          0.000
     05/10/1980            0.0            0.0        141.858          0.000
     06/10/1980            0.0            0.0        140.765          0.000
     07/10/1980            0.0            0.0        139.766          0.000
     08/10/1980            0.0            0.0        138.853          0.000
     09/10/1980            0.0            0.0        138.020          0.000
     10/10/1980            0.0            0.0        137.259          0.000
     11/10/1980            0.0            0.0        136.563          0.000
     12/10/1980            0.0            0.0        136.201          0.000
     13/10/1980            0.0            0.0        135.892          0.000
     14/10/1980            0.0            0.0        135.614          0.000
     15/10/1980            0.0            0.0        135.364          0.000
     16/10/1980            0.0            0.0        135.136          0.000
     17/10/1980            0.0            0.0        134.926          0.000
     18/10/1980            0.0            0.0        137.458          0.000
     19/10/1980            0.0            0.0        134.665          0.000
     20/10/1980            0.0            0.0        134.425          0.000
