ApsimVersion = 7.5
Title = ITHY8001_2-80 kg Urea-N Incorporated
           Date        biomass          yield            esw            lai
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (mm)        (m2/m2)
     13/06/1980            0.0            0.0         61.156          0.000
     14/06/1980            0.0            0.0         61.113          0.000
     15/06/1980            0.0            0.0         85.151          0.000
     16/06/1980            0.0            0.0        102.677          0.000
     17/06/1980            0.0            0.0         99.367          0.000
     18/06/1980            0.0            0.0         96.143          0.000
     19/06/1980            0.0            0.0         94.397          0.000
     20/06/1980            0.0            0.0         93.171          0.000
     21/06/1980           36.0            0.0         92.168          0.003
     22/06/1980           36.3            0.0         91.292          0.003
     23/06/1980           36.6            0.0         90.508          0.003
     24/06/1980           36.9            0.0         89.793          0.003
     25/06/1980           37.2            0.0         89.131          0.003
     26/06/1980           37.5            0.0         89.584          0.003
     27/06/1980           37.8            0.0         88.501          0.003
     28/06/1980           38.1            0.0         87.914          0.003
     29/06/1980           38.4            0.0         87.357          0.003
     30/06/1980           38.6            0.0         86.828          0.003
     01/07/1980           38.8            0.0        105.326          0.003
     02/07/1980           38.9            0.0        108.938          0.003
     03/07/1980           39.1            0.0        110.302          0.003
     04/07/1980           39.5            0.0        105.769          0.003
     05/07/1980           40.0            0.0        102.780          0.003
     06/07/1980           40.3            0.0        101.337          0.003
     07/07/1980           40.7            0.0        100.223          0.003
     08/07/1980           41.0            0.0         99.284          0.003
     09/07/1980           41.3            0.0         98.454          0.003
     10/07/1980           41.6            0.0         97.704          0.003
     11/07/1980           41.9            0.0         97.015          0.003
     12/07/1980           42.1            0.0         98.204          0.003
     13/07/1980           42.4            0.0         96.369          0.003
     14/07/1980           42.8            0.0         95.764          0.003
     15/07/1980           43.0            0.0         95.194          0.003
     16/07/1980           43.2            0.0         94.653          0.003
     17/07/1980           43.5            0.0         94.134          0.003
     18/07/1980           44.0            0.0         93.630          0.003
     19/07/1980           44.4            0.0         93.145          0.003
     20/07/1980           44.6            0.0         92.682          0.003
     21/07/1980           44.9            0.0         92.234          0.003
     22/07/1980           45.2            0.0         98.865          0.003
     23/07/1980           45.4            0.0        117.288          0.003
     24/07/1980           45.5            0.0        118.293          0.003
     25/07/1980           45.7            0.0        126.880          0.003
     26/07/1980           45.9            0.0        133.444          0.003
     27/07/1980           46.1            0.0        133.037          0.003
     28/07/1980           46.5            0.0        129.743          0.003
     29/07/1980           46.7            0.0        127.418          0.003
     30/07/1980           46.9            0.0        141.858          0.003
     31/07/1980           47.3            0.0        137.631          0.003
     01/08/1980            0.0            0.0        134.980          0.000
     02/08/1980            0.0            0.0        148.835          0.000
     03/08/1980            0.0            0.0        151.855          0.000
     04/08/1980            0.0            0.0        148.123          0.000
     05/08/1980            0.0            0.0        149.789          0.000
     06/08/1980            0.0            0.0        166.031          0.000
     07/08/1980            0.0            0.0        164.858          0.000
     08/08/1980            0.0            0.0        162.361          0.000
     09/08/1980            0.0            0.0        160.228          0.000
     10/08/1980            0.0            0.0        158.898          0.000
     11/08/1980            0.0            0.0        157.841          0.000
     12/08/1980            0.0            0.0        156.937          0.000
     13/08/1980            0.0            0.0        161.742          0.000
     14/08/1980            0.0            0.0        160.244          0.000
     15/08/1980            0.0            0.0        158.909          0.000
     16/08/1980            0.0            0.0        159.640          0.000
     17/08/1980            0.0            0.0        162.115          0.000
     18/08/1980            0.0            0.0        159.823          0.000
     19/08/1980            0.0            0.0        194.279          0.000
     20/08/1980            0.0            0.0        216.538          0.000
     21/08/1980            0.0            0.0        222.001          0.000
     22/08/1980            0.0            0.0        222.380          0.000
     23/08/1980            0.0            0.0        216.448          0.000
     24/08/1980            0.0            0.0        207.973          0.000
     25/08/1980            0.0            0.0        200.852          0.000
     26/08/1980            0.0            0.0        194.530          0.000
     27/08/1980            0.0            0.0        188.522          0.000
     28/08/1980            0.0            0.0        182.798          0.000
     29/08/1980            0.0            0.0        177.385          0.000
     30/08/1980            0.0            0.0        172.316          0.000
     31/08/1980            0.0            0.0        167.616          0.000
     01/09/1980            0.0            0.0        163.304          0.000
     02/09/1980            0.0            0.0        188.304          0.000
     03/09/1980            0.0            0.0        200.785          0.000
     04/09/1980            0.0            0.0        201.379          0.000
     05/09/1980            0.0            0.0        195.456          0.000
     06/09/1980            0.0            0.0        205.359          0.000
     07/09/1980            0.0            0.0        198.666          0.000
     08/09/1980            0.0            0.0        193.973          0.000
     09/09/1980            0.0            0.0        189.605          0.000
     10/09/1980            0.0            0.0        185.313          0.000
     11/09/1980            0.0            0.0        181.054          0.000
     12/09/1980            0.0            0.0        176.847          0.000
     13/09/1980            0.0            0.0        177.699          0.000
     14/09/1980            0.0            0.0        171.395          0.000
     15/09/1980            0.0            0.0        167.405          0.000
     16/09/1980            0.0            0.0        166.875          0.000
     17/09/1980            0.0            0.0        167.707          0.000
     18/09/1980            0.0            0.0        173.945          0.000
     19/09/1980            0.0            0.0        168.578          0.000
     20/09/1980            0.0            0.0        165.036          0.000
     21/09/1980            0.0            0.0        161.673          0.000
     22/09/1980            0.0            0.0        166.828          0.000
     23/09/1980            0.0            0.0        162.405          0.000
     24/09/1980            0.0            0.0        163.379          0.000
     25/09/1980            0.0            0.0        158.610          0.000
     26/09/1980            0.0            0.0        155.954          0.000
     27/09/1980            0.0            0.0        153.707          0.000
     28/09/1980            0.0            0.0        151.700          0.000
