ApsimVersion = 7.5
Title = KSAS8101_1-DRYLAND  - 0 KG N_HA
           Date        biomass          yield            esw            lai
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)
     06/10/1981            0.0            0.0         90.234          0.000
     07/10/1981            0.0            0.0         89.642          0.000
     08/10/1981            0.0            0.0         88.984          0.000
     09/10/1981            0.0            0.0         88.821          0.000
     10/10/1981            0.0            0.0         88.229          0.000
     11/10/1981            0.0            0.0         88.000          0.000
     12/10/1981            0.0            0.0         94.205          0.000
     13/10/1981            0.0            0.0         94.096          0.000
     14/10/1981            0.0            0.0         95.482          0.000
     15/10/1981            0.0            0.0         95.113          0.000
     16/10/1981            0.0            0.0         94.916          0.000
     17/10/1981            0.0            0.0        106.522          0.000
     18/10/1981            0.0            0.0        105.844          0.000
     19/10/1981            0.0            0.0        104.863          0.000
     20/10/1981            0.0            0.0        103.818          0.000
     21/10/1981            0.0            0.0        103.135          0.000
     22/10/1981            0.0            0.0        102.380          0.000
     23/10/1981            0.0            0.0        101.916          0.000
     24/10/1981            0.0            0.0        101.649          0.000
     25/10/1981            0.0            0.0        104.316          0.000
     26/10/1981            0.0            0.0        104.356          0.000
     27/10/1981            0.0            0.0        103.467          0.000
     28/10/1981            7.5            0.0        102.596          0.032
     29/10/1981            9.9            0.0        101.625          0.036
     30/10/1981           10.6            0.0        101.414          0.037
     31/10/1981           11.0            0.0        101.787          0.038
     01/11/1981           11.6            0.0        166.169          0.039
     02/11/1981           12.3            0.0        168.981          0.040
     03/11/1981           13.8            0.0        166.430          0.043
     04/11/1981           14.8            0.0        175.308          0.044
     05/11/1981           18.1            0.0        172.041          0.050
     06/11/1981           20.7            0.0        165.997          0.054
     07/11/1981           23.7            0.0        160.698          0.059
     08/11/1981           24.0            0.0        174.415          0.059
     09/11/1981           25.2            0.0        176.307          0.061
     10/11/1981           27.6            0.0        169.934          0.065
     11/11/1981           31.0            0.0        163.876          0.071
     12/11/1981           35.8            0.0        158.552          0.078
     13/11/1981           41.0            0.0        154.273          0.087
     14/11/1981           45.2            0.0        151.208          0.093
     15/11/1981           50.0            0.0        148.874          0.101
     16/11/1981           56.6            0.0        147.219          0.112
     17/11/1981           63.6            0.0        145.673          0.123
     18/11/1981           68.7            0.0        144.756          0.131
     19/11/1981           69.4            0.0        144.413          0.132
     20/11/1981           69.4            0.0        143.977          0.132
     21/11/1981           71.4            0.0        143.357          0.136
     22/11/1981           75.4            0.0        142.826          0.142
     23/11/1981           83.1            0.0        142.150          0.155
     24/11/1981           87.8            0.0        141.628          0.162
     25/11/1981           93.8            0.0        140.952          0.172
     26/11/1981           97.7            0.0        140.578          0.178
     27/11/1981           97.7            0.0        140.318          0.178
