$TIME_COURSE(MEASURED)
  
*DATA(T):KSAS8101WH 1 C1 DRYLAND  - 0 KG N RESPONSE,KANS                        
  
@TRNO   DATE  GWAD  LAID  T#AD  CWAD  LWAD  SWAD   DAP   DAS                                                                                                                        
     1 81344     0  0.00   227    59    60     0    55    65                                                                                                                        
     1 82061     0  0.06   275    99    99     0   137   147                                                                                                                        
     1 82071     0  0.06   292   124   125     0   147   157                                                                                                                        
     1 82081     0  0.13   454   170   170     0   157   167                                                                                                                        
     1 82092     0  0.20   454   225   225     0   168   178                                                                                                                        
     1 82103     0  0.31   616   338   339     0   179   189                                                                                                                        
     1 82115     0  0.68   632   987   765   225   191   201                                                                                                                        
     1 82125     0  0.96   664  1670  1220   433   201   211                                                                                                                        
     1 82138     0  1.02   551  4696  2268  1657   214   224                                                                                                                        
     1 82152     0  0.33   437  5127  1220  2236   228   238                                                                                                                        
     1 82162  1550  0.00   340  5082  1128  1662   238   248                                                                                                                        
     1 82168  2147  0.00   373  5848  1102  1609   244   254                                                                                                                        
     1 82175  2323  0.00   421  5994  1171  1609   251   261                                                                                                                        
  
*DATA(T):KSAS8101WH 2 C1 DRYLAND  - 60 K N RESPONSE,KANS                        
  
@TRNO   DATE  GWAD  LAID  T#AD  CWAD  LWAD  SWAD   DAP   DAS                                                                                                                        
     2 81344     0  0.00   437   105   105     0    55    65                                                                                                                        
     2 82061     0  0.08   389   140   139     0   137   147                                                                                                                        
     2 82071     0  0.08   583   149   149     0   147   157                                                                                                                        
     2 82081     0  0.17   599   214   214     0   157   167                                                                                                                        
     2 82092     0  0.29   599   268   269     0   168   178                                                                                                                        
     2 82103     0  0.53   842   520   522     0   179   189                                                                                                                        
     2 82115     0  1.14   907  1609  1239   374   191   201                                                                                                                        
     2 82125     0  1.84   972  2600  1891   692   201   211                                                                                                                        
     2 82138     0  1.78   826  7254  3196  2629   214   224                                                                                                                        
     2 82152     0  0.69   713  8918  2430  3872   228   238                                                                                                                        
     2 82162  2330  0.00   535  7938  1733  2650   238   248                                                                                                                        
     2 82168  3284  0.00   599  9639  1858  2872   244   254                                                                                                                        
     2 82175  3340  0.00   616 10178  1976  3029   251   261                                                                                                                        
  
*DATA(T):KSAS8101WH 3 C1 DRYLAND  - 180  N RESPONSE,KANS                        
  
@TRNO   DATE  GWAD  LAID  T#AD  CWAD  LWAD  SWAD   DAP   DAS                                                                                                                        
     3 81344     0  0.00   405   101   102     0    55    65                                                                                                                        
     3 82061     0  0.08   389   139   139     0   137   147                                                                                                                        
     3 82071     0  0.16   632   238   238     0   147   157                                                                                                                        
     3 82081     0  0.21   745   268   269     0   157   167                                                                                                                        
     3 82092     0  0.46   794   395   395     0   168   178                                                                                                                        
     3 82103     0  0.82  1102   717   719     0   179   189                                                                                                                        
     3 82115     0  1.73  1069  1879  1487   397   191   201                                                                                                                        
     3 82125     0  3.60  1118  3696  2689   988   201   211                                                                                                                        
     3 82138     0  2.99  1021  9203  4612  2888   214   224                                                                                                                        
     3 82152     0  1.24   842 11723  4909  4795   228   238                                                                                                                        
     3 82162  2866  0.00   680 11184  2508  3765   238   248                                                                                                                        
     3 82168  3731  0.00   713 11438  2419  3402   244   254                                                                                                                        
     3 82175  4534  0.00   697 12649  2338  3559   251   261                                                                                                                        
  
*DATA(T):KSAS8101WH 4 C1 IRRIGATED - 0 K N RESPONSE,KANS                        
  
@TRNO   DATE  GWAD  LAID  T#AD  CWAD  LWAD  SWAD   DAP   DAS                                                                                                                        
     4 81344     0  0.00   211    53    53     0    55    65                                                                                                                        
     4 82061     0  0.05   259    95    96     0   137   147                                                                                                                        
     4 82071     0  0.04   275   119   120     0   147   157                                                                                                                        
     4 82081     0  0.09   373   130   130     0   157   167                                                                                                                        
     4 82092     0  0.19   421   209   209     0   168   178                                                                                                                        
     4 82103     0  0.28   535   311   311     0   179   189                                                                                                                        
     4 82115     0  0.58   470   872   648   227   191   201                                                                                                                        
     4 82125     0  0.83   502  1411   988   400   201   211                                                                                                                        
     4 82138     0  0.81   486  4572  2257  1453   214   224                                                                                                                        
     4 82152     0  0.31   405  4453  1139  2046   228   238                                                                                                                        
     4 82162  1210  0.00   275  4004   891  1283   238   248                                                                                                                        
     4 82168  1333  0.00   275  4222   821  1155   244   254                                                                                                                        
     4 82175  1442  0.00   259  3926   778  1004   251   261                                                                                                                        
  
*DATA(T):KSAS8101WH 5 C1 IRRIGATED - 60  N RESPONSE,KANS                        
  
@TRNO   DATE  GWAD  LAID  T#AD  CWAD  LWAD  SWAD   DAP   DAS                                                                                                                        
     5 81344     0  0.00   356    98    99     0    55    65                                                                                                                        
     5 82061     0  0.07   389   136   136     0   137   147                                                                                                                        
     5 82071     0  0.09   583   150   151     0   147   157                                                                                                                        
     5 82081     0  0.18   648   216   217     0   157   167                                                                                                                        
     5 82092     0  0.30   599   265   266     0   168   178                                                                                                                        
     5 82103     0  0.51   648   494   496     0   179   189                                                                                                                        
     5 82115     0  1.28   794  1457  1128   334   191   201                                                                                                                        
     5 82125     0  2.02   810  2473  1712   745   201   211                                                                                                                        
     5 82138     0  1.82   713  7281  3310  2668   214   224                                                                                                                        
     5 82152     0  0.66   616  7905  2268  3553   228   238                                                                                                                        
     5 82162  2090  0.00   502  7796  1639  2780   238   248                                                                                                                        
     5 82168  2422  0.00   535  9478  2117  3122   244   254                                                                                                                        
     5 82175  3034  0.00   535  9424  2122  2824   251   261                                                                                                                        
   261   261                                                                                                                                                                        
  
*DATA(T):KSAS8101WH 6 C1 IRRIGATED 180 K N RESPONSE,KANS                        
  
@TRNO   DATE  GWAD  LAID  T#AD  CWAD  LWAD  SWAD   DAP   DAS                                                                                                                        
     6 81344     0  0.00   308    88    87     0    55    65                                                                                                                        
     6 82061     0  0.07   373   136   136     0   137   147                                                                                                                        
     6 82071     0  0.16   632   240   240     0   147   157                                                                                                                        
     6 82081     0  0.22   664   259   259     0   157   167                                                                                                                        
     6 82092     0  0.48   859   416   418     0   168   178                                                                                                                        
     6 82103     0  0.83   875   734   737     0   179   189                                                                                                                        
     6 82115     0  2.44  1199  2428  1857   577   191   201                                                                                                                        
     6 82125     0  3.56  1037  3673  2673   983   201   211                                                                                                                        
     6 82138     0  2.88   956  8891  3770  3515   214   224                                                                                                                        
     6 82152     0  2.06   956 11680  3664  4957   228   238                                                                                                                        
     6 82162  2675  0.00   729 11776  2757  3992   238   248                                                                                                                        
     6 82168  3211  0.00   697 11879  2365  3553   244   254                                                                                                                        
     6 82175  4708  0.00   794 13064  2652  3747   251   261                                                                                                                        
   261   261                                                                                                                                                                        
